video_id,publish_date,subject,topic_num,topic_title,title
L25_V037,01/06/2024,Lịch sử,6,Các cao trào CM trong cuộc ĐTGĐL(1930-1945),BÍ QUYẾT ÔN THI THPT 2024  Môn Lịch sử  Chuyên đề 6  Các cao trào CM trong cuộc ĐTGĐL(1930-1945)
L25_V038,31/05/2024,Sinh học,6,Xác định gen bố mẹ trong phép lai 2 tính,BÍ QUYẾT ÔN THI THPT 2024  Môn Sinh học  Chuyên đề 6  Xác định gen bố mẹ trong phép lai 2 tính
L25_V039,31/05/2024,Hóa học,6,Nhôm và hợp chất của nhôm,BÍ QUYẾT ÔN THI THPT 2024  Môn Hóa học  Chuyên đề 6  Nhôm và hợp chất của nhôm
L25_V040,31/05/2024,Vật lý,6,Các loại máy điện - Sự truyền tải điện,BÍ QUYẾT ÔN THI THPT 2024  Môn Vật lý  Chuyên đề 6  Các loại máy điện - Sự truyền tải điện
L25_V041,30/05/2024,Anh văn,6,Động từ thêm 'ing' và động từ có 'to',BÍ QUYẾT ÔN THI THPT 2024  Môn Anh văn  Chuyên đề  6  Động từ thêm 'ing' và động từ có 'to'
L25_V042,30/05/2024,Địa lý,6,Địa lý công nghiệp và dịch vụ Việt Nam,BÍ QUYẾT ÔN THI THPT 2024  Môn Địa lý  Chuyên đề 6  Địa lý công nghiệp và dịch vụ Việt Nam
L25_V043,30/05/2024,Toán,6,Góc - Khoảng cách - Thể tích,BÍ QUYẾT ÔN THI THPT 2024  Môn Toán  Chuyên đề 6  Góc - Khoảng cách - Thể tích
L25_V044,29/05/2024,GDCD,5,Một số vấn đề cơ bản của Pháp luật,BÍ QUYẾT ÔN THI THPT 2024  Môn GDCD  Chuyên đề 5   Một số vấn đề cơ bản của Pháp luật
L25_V045,29/05/2024,Ngữ văn,5,Phương pháp tăng khả năng ghi nhớ,BÍ QUYẾT ÔN THI THPT 2024 Môn Ngữ văn  Chuyên đề 5  Phương pháp tăng khả năng ghi nhớ
L25_V046,29/05/2024,Lịch sử,5,Ngoại giao trong lịch sử CMVN (1945-1975),BÍ QUYẾT ÔN THI THPT 2024  Môn Lịch sử  Chuyên đề 5  Ngoại giao trong lịch sử CMVN (1945-1975)
L25_V047,28/05/2024,Sinh học,5,Bài tập phả hệ,BÍ QUYẾT ÔN THI THPT 2024  Môn Sinh học  Chuyên đề 5  Bài tập phả hệ
L25_V048,28/05/2024,Hóa học,5,Sắt và hợp chất của sắt,BÍ QUYẾT ÔN THI THPT 2024  Môn Hóa học  Chuyên đề 5  Sắt và hợp chất của sắt
L25_V049,28/05/2024,Vật lý,5,Mạch RLC - Công suất,BÍ QUYẾT ÔN THI THPT 2024  Môn Vật lý  Chuyên đề 5  Mạch RLC - Công suất
L25_V050,27/05/2024,Anh văn,5,Đảo ngữ,BÍ QUYẾT ÔN THI THPT 2024  Môn Anh văn  Chuyên đề  5  Đảo ngữ
L25_V051,27/05/2024,Địa lý,5,Cơ cấu kinh tế - Địa lý nông nghiêp,BÍ QUYẾT ÔN THI THPT 2024  Môn Địa lý  Chuyên đề 5  Cơ cấu kinh tế - Địa lý nông nghiêp
L25_V052,27/05/2024,Toán,5,Toán số phức và ứng dụng hình học trong số phức,BÍ QUYẾT ÔN THI THPT 2024  Môn Toán  Chuyên đề 5  Toán số phức và ứng dụng hình học trong số phức
L25_V053,25/05/2024,GDCD,4,Một số vấn đề cơ bản của Pháp luật,BÍ QUYẾT ÔN THI THPT 2024  Môn GDCD  Chuyên đề 4  Một số vấn đề cơ bản của Pháp luật
L25_V054,25/05/2024,Ngữ văn,4,Bí kíp đạt điểm tối đa phần đọc - hiểu,BÍ QUYẾT ÔN THI THPT 2024 Môn Ngữ văn  Chuyên đề 4  Bí kíp đạt điểm tối đa phần đọc - hiểu
L25_V055,25/05/2024,Lịch sử,4,Thắng lợi QS của ta trong cuộc KC chống Mỹ,BÍ QUYẾT ÔN THI THPT 2024  Môn Lịch sử  Chuyên đề 4  Thắng lợi QS của ta trong cuộc KC chống Mỹ
L25_V056,24/05/2024,Sinh học,4,Số loại kiểu gen tối đa cơ thể lưỡng bội,BÍ QUYẾT ÔN THI THPT 2024  Môn Sinh học  Chuyên đề 4  Số loại kiểu gen tối đa cơ thể lưỡng bội
L25_V057,24/05/2024,Hóa học,4,Nước cứng và phản ứng ion trong dung dịch,BÍ QUYẾT ÔN THI THPT 2024  Môn Hóa học  Chuyên đề 4  Nước cứng và phản ứng ion trong dung dịch
L25_V058,24/05/2024,Vật lý,4,Sóng dừng - Sóng âm,BÍ QUYẾT ÔN THI THPT 2024  Môn Vật lý  Chuyên đề 4  Sóng dừng - Sóng âm
L25_V059,23/05/2024,Anh văn,4,Các cấu trúc đặc biệt của câu điều kiện,BÍ QUYẾT ÔN THI THPT 2024  Môn Anh văn  Chuyên đề  4  Các cấu trúc đặc biệt của câu điều kiện
L25_V060,23/05/2024,Địa lý,4,Địa lý dân cư Việt Nam,BÍ QUYẾT ÔN THI THPT 2024  Môn Địa lý  Chuyên đề  4  Địa lý dân cư Việt Nam
L25_V061,23/05/2024,Toán,4,Các bài toán ứng dụng tích phân,BÍ QUYẾT ÔN THI THPT 2024  Môn Toán  Chuyên đề 4  Các bài toán ứng dụng tích phân
L25_V062,22/05/2024,GDCD,3,Các qui luật sản xuất và lưu thông hàng hóa,BÍ QUYẾT ÔN THI THPT 2024  Môn GDCD  Chuyên đề 3  Các qui luật sản xuất và lưu thông hàng hóa
L25_V063,22/05/2024,Ngữ văn,3,"Nhận định siêu hay, học ngay kẻo lỡ","BÍ QUYẾT ÔN THI THPT 2024 Môn Ngữ văn  Chuyên đề 3  Nhận định siêu hay, học ngay kẻo lỡ"
L25_V064,22/05/2024,Lịch sử,3,Chiến lược QS của Mỹ ở Miền Nam Việt Nam,BÍ QUYẾT ÔN THI THPT 2024  Môn Lịch sử  Chuyên đề 3  Chiến lược QS của Mỹ ở Miền Nam Việt Nam
L25_V065,21/05/2024,Sinh học,3,Số loại thể ba & tam bội khác nhau kiểu gen,BÍ QUYẾT ÔN THI THPT 2024  Môn Sinh học  Chuyên đề 3  Số loại thể ba & tam bội khác nhau kiểu gen
L25_V066,21/05/2024,Hóa học,3,Bài tập kim loai - Tác dụng dung dịch muối,BÍ QUYẾT ÔN THI THPT 2024  Môn Hóa học  Chuyên đề 3  Bài tập kim loai - Tác dụng dung dịch muối
L25_V067,21/05/2024,Vật lý,3,Sóng - Giao thoa sóng,BÍ QUYẾT ÔN THI THPT 2024  Môn Vật lý  Chuyên đề 3  Sóng - Giao thoa sóng
L25_V068,20/05/2024,Anh văn,3,Câu điều kiện,BÍ QUYẾT ÔN THI THPT 2024  Môn Anh văn  Chuyên đề  3  Câu điều kiện
L25_V069,20/05/2024,Địa lý,3,Địa lý tự nhiên Việt Nam - Phần 2,BÍ QUYẾT ÔN THI THPT 2024  Môn Địa lý  Chuyên đề  3  Địa lý tự nhiên Việt Nam - Phần 2
L25_V070,20/05/2024,Toán,3,Phương trình - Bất phương trình mũ và Logarit,BÍ QUYẾT ÔN THI THPT 2024  Môn Toán  Chuyên đề 3  Phương trình - Bất phương trình mũ và Logarit
L25_V071,18/05/2024,GDCD,2,Hàng hóa - Tiền tệ - Thị trường,BÍ QUYẾT ÔN THI THPT 2024  Môn GDCD  Chuyên đề  2  Hàng hóa - Tiền tệ - Thị trường
L25_V072,18/05/2024,Lịch sử,2,Các Thắng lợi QS của ta trong KC chống Pháp,BÍ QUYẾT ÔN THI THPT 2024  Môn Lịch sử  Chuyên đề  2  Các Thắng lợi QS của ta trong KC chống Pháp
L25_V073,17/05/2024,Sinh học,2,Quá trình nguyên phân và giảm phân,BÍ QUYẾT ÔN THI THPT 2024  Môn Sinh học  Chuyên đề  2  Quá trình nguyên phân và giảm phân
L25_V074,17/05/2024,Hóa học,2,Điều chế kim loại - Nhiệt luyện,BÍ QUYẾT ÔN THI THPT 2024  Môn Hóa học  Chuyên đề  2  Điều chế kim loại - Nhiệt luyện
L25_V075,16/05/2024,Anh văn,2,"Thì quá khứ đơn, thì quá khứ tiếp diễn","BÍ QUYẾT ÔN THI THPT 2024  Môn Anh văn  Chuyên đề  2  Thì quá khứ đơn, thì quá khứ tiếp diễn"
L25_V076,16/05/2024,Địa lý,2,Địa lý tự nhiên Việt Nam - Phần 1,BÍ QUYẾT ÔN THI THPT 2024  Môn Địa lý  Chuyên đề  2  Địa lý tự nhiên Việt Nam - Phần 1
L25_V077,16/05/2024,Vật lý,2,Các loại dao động - Tổng hợp dao động,BÍ QUYẾT ÔN THI THPT 2024  Môn Vật lý  Chuyên đề  2  Các loại dao động - Tổng hợp dao động
L25_V078,16/05/2024,Toán,2,Khảo sát hàm số - Các bài toán về hàm hợp,BÍ QUYẾT ÔN THI THPT 2024  Môn Toán  Chuyên đề 2   Khảo sát hàm số - Các bài toán về hàm hợp
L25_V079,15/05/2024,GDCD,1,"Sản xuất, của cải vật chất","BÍ QUYẾT ÔN THI THPT 2024  Môn GDCD  Chuyên đề  1  Sản xuất, của cải vật chất"
L25_V080,15/05/2024,Ngữ văn,2,Cách viết kết bài 'xịn xò',BÍ QUYẾT ÔN THI THPT 2024 Môn Ngữ văn  Chuyên đề  2  Cách viết kết bài 'xịn xò'
L25_V081,15/05/2024,Ngữ văn,1,Cách viết mở bài đốn tim giám khảo,BÍ QUYẾT ÔN THI THPT 2024 Môn Ngữ văn  Chuyên đề  1  Cách viết mở bài đốn tim giám khảo
L25_V082,15/05/2024,Lịch sử,1,Đấu tranh chống thù trong giặc ngoài,BÍ QUYẾT ÔN THI THPT 2024  Môn Lịch sử  Chuyên đề  1  Đấu tranh chống thù trong giặc ngoài
L25_V083,14/05/2024,Sinh học,1,Một số dạng bài tập về ADN (Gen),BÍ QUYẾT ÔN THI THPT 2024  Môn Sinh học  Chuyên đề  1  Một số dạng bài tập về ADN (Gen)
L25_V084,14/05/2024,Hóa học,1,Lý thuyết chung về kim loại,BÍ QUYẾT ÔN THI THPT 2024  Môn Hóa học  Chuyên đề  1  Lý thuyết chung về kim loại
L25_V085,14/05/2024,Vật lý,1,Dao động điều hòa - Con lắc lò xo,BÍ QUYẾT ÔN THI THPT 2024  Môn Vật lý  Chuyên đề  1  Dao động điều hòa - Con lắc lò xo
L25_V086,13/05/2024,Anh văn,1,Chức năng Giao tiếp,BÍ QUYẾT ÔN THI THPT 2024  Môn Anh văn  CĐ 1  Chức năng Giao tiếp
L25_V087,13/05/2024,Địa lý,1,Vị trí địa lý - Phạm vi lãnh thổ - Biển Đông,BÍ QUYẾT ÔN THI THPT 2024  Môn Địa lý  CĐ 1  Vị trí địa lý - Phạm vi lãnh thổ - Biển Đông
L25_V088,13/05/2024,Toán,1,Khảo sát hàm số - Các bài toán chứa tham số M,BÍ QUYẾT ÔN THI THPT 2024  Môn Toán  CĐ 1   Khảo sát hàm số - Các bài toán chứa tham số M
