video_id,publish_date,province,topic,summary
L28_V012,27/06/2024,An Giang,"Văn hóa Óc Eo, núi Ba Thê, Thoại Ngọc Hầu, kênh Đông Xuyên - Rạch Giá","Video giới thiệu về văn hóa Óc Eo và danh thần Thoại Ngọc Hầu tại tỉnh An Giang. Nội dung khám phá các di tích quốc gia đặc biệt như nền văn minh cổ đại Óc Eo thế kỷ 1-9, chùa Linh Sơn, di tích gò Cây Thị ở núi Ba Thê, cùng hệ thống kênh Đông Xuyên Rạch Giá do Thoại Ngọc Hầu chỉ huy đào năm 1818 nhằm phát triển giao thương. Video còn nhắc đến đền thờ, bia đá lịch sử và trường THPT chuyên Thoại Ngọc Hầu, khẳng định bản sắc văn hóa và chủ quyền lãnh thổ vùng đồng bằng sông Cửu Long."
L28_V013,04/07/2024,An Giang,"Long Xuyên - kênh Thoại Hà, Cù lao Ông Hổ (quê Tôn Đức Thắng), suy giảm thủy sản","Video khám phá đời sống sông nước miền Tây qua hành trình dọc theo sông Hậu tại thành phố Long Xuyên, tỉnh An Giang. Nội dung giới thiệu vẻ đẹp của đô thị bên ngã ba sông, kênh Thoại Hà lịch sử cùng Cù lao Ông Hổ - quê hương Chủ tịch Tôn Đức Thắng. Đồng thời, video phản ánh thực trạng đánh bắt thủy sản sụt giảm, nạn tận diệt nguồn lợi thủy sản bằng xung điện và những trăn trở của người dân gắn bó với dòng sông."
L28_V014,11/07/2024,An Giang,"Chợ nổi Long Xuyên, làng lưỡi câu Mỹ Hòa Hưng, cầu Vàm Cống","Video giới thiệu về văn hóa sông nước miền Tây Nam Bộ, tập trung khai thác nét đẹp và đời sống của người dân bên dòng sông Hậu tại An Giang, cụ thể là Chợ nổi Long Xuyên và làng nghề làm lưỡi câu Mỹ Hòa Hưng. Nội dung ghi lại cảnh mua bán nhộn nhịp trên ghe xuồng, các món ăn đặc sản, cùng những chia sẻ về sự thay đổi của dòng sông, sinh kế của người dân và sự kiện khánh thành cầu Vàm Cống nối liền An Giang và Đồng Tháp."
L28_V015,18/07/2024,Kiên Giang,"Hà Tiên - Mạc Cửu, núi Bình San, nghề làm đồ huyền","Video giới thiệu về lịch sử và văn hóa vùng đất biên thùy Hà Tiên, gắn liền với công lao khai phá của Mạc Cửu từ hơn 300 năm trước. Nội dung video khám phá các địa danh nổi tiếng như núi Bình San, đền thờ họ Mạc, ao sen Bảo Ngọc Liên Trì và rạch Lũ Khê. Bên cạnh đó, video cũng giới thiệu các nét văn hóa đặc trưng, nghề thủ công làm đồ huyền (sản phẩm mỹ nghệ đen tuyền truyền thống) và đời sống mưu sinh gắn liền với sông nước, biển cả của người dân địa phương tại đây."
L28_V016,01/08/2024,Kiên Giang,"Hà Tiên - sông Giang Thành, đầm Đông Hồ, Tao đàn Chiêu Anh Cát","Video giới thiệu về đời sống, văn hóa và lịch sử vùng đất Hà Tiên bên dòng sông Giang Thành và đầm Đông Hồ. Khung cảnh thiên nhiên gắn liền với nghề trồng dừa nước chằm lá, đánh bắt thủy sản và mô hình nuôi tôm cua quảng canh của người dân địa phương. Bên cạnh đó, video nhắc đến Tao đàn Chiêu Anh Cát cùng di tích nhà lưu niệm Đông Hồ, nơi gìn giữ các giá trị văn chương và lịch sử lâu đời của vùng đất Nam Bộ."
L28_V017,08/08/2024,Kiên Giang,"Hà Tiên - mắm cà xỉu, hồ tiêu Thuận Yên, Thạch Động, Mũi Nai","Video giới thiệu về đời sống, văn hóa và đặc sản tại thành phố Hà Tiên, Kiên Giang. Khán giả sẽ được khám phá các sản vật đặc trưng như mắm cà xỉu đầm Đông Hồ, hồ tiêu Thuận Yên và thưởng thức các món ăn dân dã như bún nhâm, gà đốt. Bên cạnh đó, video cũng dẫn người xem tham quan Thạch Động, các ngôi chùa Khmer cổ kính và cảnh quan thiên nhiên bình yên tại bãi biển Mũi Nai."
L28_V018,15/08/2024,Kiên Giang,"Kiên Lương - Hòn Phụ Tử, Chùa Hang, Động Kim Cương","Video khám phá huyện Kiên Lương, tỉnh Kiên Giang, nổi bật với hệ thống kênh rạch Rạch Giá - Hà Tiên, kênh T3 và đập Ba Hòa Điền giúp ngăn mặn, trữ ngọt, bảo vệ đất lúa. Nông dân địa phương áp dụng khoa học kỹ thuật để phát triển kinh tế nông nghiệp, trồng lúa và nuôi cá mú trong ao đất. Video cũng giới thiệu các danh lam thắng cảnh thiên nhiên và di tích lịch sử nổi tiếng như Hòn Phụ Tử, Chùa Hang, Động Kim Cương và Đình thần Hòn Chông."
L28_V019,22/08/2024,Kiên Giang,"Hòn Đất - căn cứ Ba Hòn, Chị Sứ, nghề làm nồi đất","Video giới thiệu về huyện Hòn Đất, tỉnh Kiên Giang, vùng đất giàu truyền thống lịch sử với căn cứ Ba Hòn và nguyên mẫu nữ anh hùng lực lượng vũ trang nhân dân Chị Sứ. Nơi đây hiện đã phát triển thành vùng sản xuất lúa gạo trọng điểm nhờ hệ thống thủy lợi cung cấp nước ngọt quanh năm và các vườn xoài cát đặc sản. Bên cạnh đó, video cũng khám phá các làng nghề truyền thống lâu đời của đồng bào Khmer như nghề làm nồi đất tại ấp Đầu Doi và ấp Hòn Quéo."
L28_V020,29/08/2024,Kiên Giang,"Rạch Giá - Đình Nguyễn Trung Trực, đô thị biển Phú Cường, cù lao Tắc Cậu","Video giới thiệu về tỉnh Kiên Giang, nổi bật với hệ thống thủy lợi kênh Cái Sắn và các công trình kiến trúc như Cổng tam quan cùng Đình thần anh hùng dân tộc Nguyễn Trung Trực tại thành phố Rạch Giá. Địa phương còn phát triển khu đô thị biển Phú Cường hiện đại và mô hình nông nghiệp độc đáo trồng khóm (dứa) kết hợp cây cao và dừa tại cù lao Tắc Cậu, huyện Châu Thành. Các công trình kiểm soát mặn ngọt giúp bảo vệ sản xuất nông nghiệp bền vững trước biến đổi khí hậu."
L28_V021,05/09/2024,Kiên Giang,"Tân Hiệp - kênh Cái Sắn, đan cần xé, Đền thờ Vua Hùng","Video giới thiệu về sự phát triển kinh tế, giao thông và đời sống nông thôn mới tại huyện Tân Hiệp, tỉnh Kiên Giang. Nội dung nổi bật gồm hệ thống kênh rạch và giao thông đường thủy truyền thống, sự hình thành các làng nghề thủ công truyền thống như đan cần xé, cùng các công trình hạ tầng trọng điểm như cầu vượt sông Cái Sắn. Bên cạnh đó, video cũng đề cập đến khu di tích lịch sử văn hóa Đền thờ Vua Hùng, phản ánh đời sống tinh thần phong phú của người dân vùng đồng bằng sông Cửu Long."
L28_V022,12/09/2024,Kiên Giang,"Gò Quao - cù lao Vĩnh Phước A, khóm + tôm OCOP 3 sao","Video giới thiệu về xã cù lao Vĩnh Phước A, huyện Gò Quao, tỉnh Kiên Giang, nơi bị bao bọc bởi sông Cái Lớn. Nơi đây nổi tiếng với mô hình kinh tế nông nghiệp độc đáo kết hợp trồng khóm (dứa), lúa mùa một bụi đỏ và thả nuôi tôm thẻ. Người dân áp dụng kỹ thuật canh tác thích ứng với biến đổi khí hậu, sử dụng phân vi sinh và sản xuất theo hướng hữu cơ. Các sản phẩm đặc trưng như khóm, lúa bệ, nước màu khóm đã đạt chuẩn OCOP 3 sao, góp phần nâng cao thu nhập và giảm nghèo bền vững."
L28_V023,19/09/2024,Kiên Giang,"Giồng Riềng - ngó riền (xã Bàn Thạch), mắm cá lóc Tám Dô (xã Ngọc Thuận)","Video giới thiệu về huyện Giồng Riêng, tỉnh Kiên Giang, vùng đất sông nước nổi bật với sản xuất nông nghiệp và các sản phẩm đặc trưng đạt chuẩn OCOP. Người dân xã Bàn Thạch tận dụng cây riền dễ trồng, ít sâu bệnh để thu hoạch ngó riền non giòn, lột vỏ bán cho các nhà hàng và làm quà tặng. Bên cạnh đó, nghề làm mắm truyền thống như mắm cá lóc Tám Dô tại xã Ngọc Thuận cũng giúp nhiều hộ dân vươn lên khá giả, tạo việc làm cho lao động địa phương. Các sản phẩm đặc sản này ngày càng vươn xa, góp phần phát triển kinh tế - xã hội và xây dựng nông thôn mới."
L28_V024,26/09/2024,An Giang / Cần Thơ / Hậu Giang,"Series finale - Chợ nổi Ngã Bảy, đan cần xé, đóng ghe xuồng","Video ghi lại hành trình thủy trình dọc theo sông Hậu qua tỉnh An Giang, Cần Thơ và Hậu Giang, khám phá văn hóa sông nước miền Tây. Nội dung tập trung vào Chợ nổi Ngã Bảy (Hậu Giang) - ""kinh đô sông nước"" trăm năm trước, cùng các làng nghề truyền thống lâu đời như đan cần xé bằng tre và đóng ghe xuồng. Qua lời kể của người dân và nhạc sĩ Nguyễn Vĩnh Phúc, video tái hiện nét sinh hoạt thương hồ, sự chuyển đổi kinh tế và hoài niệm về một thời phồn thịnh trên sông."
