video_id,publish_date,district_commune,topic,summary
L29_V011,14/06/2024,,"Khởi nghiệp trồng nấm (Trần Mai Rin) - nấm bào ngư, hoàng đế, hồng ngọc","Video giới thiệu về mô hình khởi nghiệp trồng nấm độc đáo của cô gái trẻ Trần Mai Rin tại vùng đất ngập mặn Cà Mau, thuộc khu vực đồng bằng sông Cửu Long hạ lưu sông Mê Công. Bắt đầu từ thời điểm dịch COVID-19, Mai Rin đã tận dụng nguồn vốn hỗ trợ từ địa phương để phát triển trang trại chuyên cung cấp các loại nấm tươi như nấm bào ngư, nấm hoàng đế, nấm hoàng kim, nấm hồng ngọc và nấm bào ngư Nhật. Trọng tâm video ghi lại quy trình chăm sóc, độ ẩm, nhiệt độ và cách thu hoạch các loại nấm, đồng thời mở rộng mô hình cung cấp phôi nấm trực tuyến trên toàn quốc."
L29_V012,28/06/2024,,Nghề làm cổng cưới thủ công bằng lá dừa nước,"Video ghi lại hành trình khám phá vùng đồng bằng sông Cửu Long và nghề làm cổng cưới thủ công bằng lá dừa nước truyền thống tại Cà Mau. Nhân vật chính là một cựu giáo viên mỹ thuật cùng người dân địa phương chia sẻ quy trình tỉ mỉ từ việc đi xuồng đốn lá, dựng khung đến kết hoa trang trí. Video tôn vinh nét đẹp văn hóa miền Tây Nam Bộ và nỗ lực gìn giữ giá trị truyền thống bên dòng sông Mê Công."
L29_V013,12/07/2024,huyện Thới Bình,"Mô hình trồng nho trên đất phèn mặn (anh Thơ, chị Thảo)","Video giới thiệu mô hình trồng nho độc đáo của anh Thơ và chị Thảo tại huyện Thới Bình, tỉnh Cà Mau. Bất chấp vùng đất phèn mặn và khí hậu khắc nghiệt, chủ vườn đã áp dụng kỹ thuật làm mái che, cải tạo đất và thành công với các giống nho như nho đỏ 126, nho mẫu đơn Hàn Quốc và nho ngón tay đen Mỹ. Vườn nho không chỉ mang lại năng suất hơn 2,5 tấn/năm, mở ra hướng đi kinh tế mới mà còn kết hợp phát triển du lịch sinh thái và chuyển giao kỹ thuật canh tác cho nông dân địa phương."
L29_V014,19/07/2024,"xã Nguyễn Phúc, huyện Thới Bình","Nghề đan đát truyền thống (thúng, rổ, nia, xịa) từ cây trúc","Video giới thiệu làng nghề đan đát truyền thống lâu đời tại xã Nguyễn Phúc, huyện Thới Bình, tỉnh Cà Mau. Người dân nơi đây gắn bó với nghề làm các sản phẩm thủ công từ tre như thúng, rổ, nia, xịa. Nguyên liệu chính là cây trúc được khai thác từ những cánh rừng bạt ngàn tại địa phương. Qua đôi bàn tay khéo léo và cần mẫn của các bà, các mẹ qua nhiều thế hệ, những nan tre được chẻ, vót và đan tỉ mỉ thành những sản phẩm mộc mạc, bền đẹp phục vụ đời sống."
L29_V015,02/08/2024,Đầm Dơi,"Khởi nghiệp OCOP ba khía & tôm khô - xuất khẩu Hà Nội, Úc","Video từ chương trình ""Đôi mắt Mekong"" (HTV Online) giới thiệu mô hình khởi nghiệp nông nghiệp của cặp đôi trí thức trẻ tại Đầm Dơi, Cà Mau. Chủ xưởng chia sẻ hành trình vượt qua khó khăn để chuyên nghiệp hóa các đặc sản địa phương đạt chuẩn OCOP từ ba khía và tôm (như ba khía trộn chua ngọt, tôm khô). Xưởng sản xuất hiện đại hóa bằng máy móc, tạo việc làm cho bà con và phân phối sản phẩm rộng rãi qua thương mại điện tử đến Hà Nội và Úc."
L29_V016,09/08/2024,,"Nuôi chồn hương kết hợp nuôi cá, trồng trọt - DNTN Mỹ Tâm","Video giới thiệu mô hình nuôi chồn hương kết hợp nuôi cá và trồng trọt tại tỉnh Cà Mau, do anh Linh (đại diện doanh nghiệp tư nhân Mỹ Tâm) chia sẻ. Người xem được tìm hiểu về quy trình chăm sóc, thức ăn gồm cá tươi và chuối, cách phòng bệnh, hệ thống chuồng trại phân khu khoa học, cũng như giá trị kinh tế cao mà loài dược liệu quý này mang lại."
L29_V017,16/08/2024,,Làng nghề dệt chiếu truyền thống (Cô Bảy),"Video giới thiệu về làng nghề dệt chiếu truyền thống nổi tiếng tại Cà Mau, vùng hạ lưu sông Mê Công. Nội dung ghi lại cảnh các nghệ nhân, trong đó có Cô Bảy, cần mẫn thực hiện các công đoạn thủ công phức tạp như chọn cọng lát, nhuộm màu, chẻ lát và dệt hoa văn trên khung gỗ để tạo ra những đôi chiếu bền đẹp. Qua đó, video tôn vinh vẻ đẹp lao động, đời sống văn hóa và tinh thần gắn bó lâu đời của người dân miền Tây sông nước."
L29_V018,23/08/2024,"xã Trí Lực, huyện Thới Bình","Mô hình lúa - tôm - cua luân canh mặn/ngọt (lúa ST24, ST25)","Video giới thiệu mô hình sản xuất nông nghiệp kết hợp lúa - tôm - cua tại xã Trí Lực, huyện Thới Bình, tỉnh Cà Mau. Chương trình có sự tham gia của Phương Uyên và đoàn làm phim, cùng chia sẻ từ người dân địa phương. Nội dung tập trung vào quá trình chuyển đổi từ trồng mía, trồng khóm sang mô hình canh tác 6 tháng nước mặn nuôi tôm, cua kết hợp 6 tháng nước ngọt trồng lúa hữu cơ (giống lúa ST24, ST25). Mô hình này mang lại hiệu quả kinh tế cao, giúp cải thiện đời sống người dân và phát triển nông nghiệp bền vững."
L29_V019,04/09/2024,"làng chài Sông Đốc, huyện Trần Văn Thời","Hải sản khô truyền thống (mực khô, cá khoai khô) - cơ sở Kiều Nương","Video của chương trình Đôi mắt Mekong giới thiệu làng chài Sông Đốc, huyện Trần Văn Thời, tỉnh Cà Mau, nổi tiếng với nghề khai thác biển và chế biến hải sản khô truyền thống. Cơ sở Kiều Nương tại đây chuyên cung cấp các đặc sản đạt chuẩn OCOP như mực khô, bánh tráng mực sữa, cá khoai khô, cá cơm và các loại hải sản khô khác. Ngư dân thường đi câu mực và đánh bắt cá cơm ban đêm, sau đó phơi nắng trực tiếp trên ghe từ 1-3 ngày để giữ độ tươi ngon. Sản phẩm được phân loại kỹ lưỡng, đóng gói và bảo quản trong kho lạnh để phục vụ thị trường đa dạng."
L29_V020,06/09/2024,,"Bánh dân gian miền Tây (bánh khọt, bánh xèo, bánh ít trần)","Video thuộc chương trình ""Đôi mắt Mê Kông"" quay tại Cà Mau, miền Tây Nam Bộ, giới thiệu văn hóa ẩm thực sông nước và cách làm các loại bánh dân gian truyền thống. Đoàn làm phim cùng người dẫn chương trình hướng dẫn chi tiết quy trình chế biến các món đặc sản như bánh khọt, bánh xèo giòn rụm với nhân tôm thịt, và các loại bánh làm từ khoai mì như bánh ít trần. Video cũng chia sẻ bí quyết pha nước chấm sánh kẹo từ nước đường, tỏi ớt, ch tắc, kết hợp cùng các loại rau sống và muối mè ăn kèm."
L29_V021,13/09/2024,,"Đầm Thị Tường (700ha) - nghề chài lưới, bắt ghẹ/tôm tích, du lịch sinh thái","Video khám phá Đầm Thị Tường rộng 700 ha ở Cà Mau, vùng hạ lưu sông Mê Kông. Khung cảnh hiện lên với sương mờ, bình minh lấp lánh và nhịp sống lao động bình dị của ngư dân qua nghề chài lưới, bắt ghẹ, tôm tích và các loài thủy sản nước lợ. Chương trình giới thiệu văn hóa bản địa, mô hình du lịch sinh thái trải nghiệm qua đêm, cùng những câu chuyện lịch sử gắn bó sâu nặng với mảnh đất này."
L29_V022,20/09/2024,huyện Thới Bình,"Nghề làm mắm cá đồng truyền thống (mắm cá lóc, cá sặc, >35 năm)","Video thuộc chương trình ""Đôi Mangk Mekong"" (HTV Online) giới thiệu về nghề làm mắm cá đồng truyền thống tại huyện Thới Bình, tỉnh Cà Mau. Người dân địa phương chia sẻ quy trình kỳ công làm mắm cá lóc và mắm cá sặc trong suốt hơn 35 năm, kết hợp cùng củ riềng tạo nên hương vị đậm đà, đặc trưng. Các món ăn nổi bật từ đặc sản này gồm mắm lóc chiên, mắm lòng và mắm trộn đu đủ."
L29_V023,27/09/2024,,"Vườn quốc gia U Minh Hạ - hệ sinh thái, đất than bùn, lịch sử kháng chiến","Video giới thiệu Vườn quốc gia U Minh Hạ tại Đồng bằng sông Cửu Long, nổi bật với hệ sinh thái rừng ngập mặn nguyên sinh và lớp đất than bùn dày hình thành qua hàng ngàn năm. Chương trình khám phá cảnh quan thiên nhiên hoang sơ, hệ động thực vật đa dạng cùng các hoạt động du lịch sinh thái như chèo thuyền. Bên cạnh đó, video cũng nhắc đến lịch sử kháng chiến oanh liệt và câu chuyện tìm hài cốt liệt sĩ Lê Trọng Lược (sinh năm 1945)."
